harmonized_claim_id	analytic_endpoint	expected_direction	stress_filter	organ_filter	broad_lineage_filter	cell_type_filter	module_filter	claim_scope	object_type
HCLAIM_c6503371cbbcfe93	module_direction	down	salt	root	root_hair	root_hair	root_hair_growth	root-hair developmental response to salt	harmonized_claim
HCLAIM_c4c7c83908774b89	within_study_cell_type_heterogeneity	cell_type_specific	salt	leaf;root	all_cell_resolved	all_cell_resolved	all_modules	leaf and root cell-type heterogeneity under abiotic stress	harmonized_claim
HCLAIM_7b686d5cf4cd8d29	responder_rank_proxy	highest	HeatShock_42C_2h	unspecified	ground_cortex_mesophyll	Cortex	*	maize root cell types	harmonized_claim
HCLAIM_842727ccfcd777f2	directional	up	HeatShock_42C_2h	unspecified	*	unspecified	heat_shock	all nine maize root cell types	harmonized_claim
HCLAIM_cb34cc83566c2b22	directional	up	HeatShock_42C_2h	unspecified	ground_cortex_mesophyll	Cortex	heat_shock	cortex cells	harmonized_claim
HCLAIM_66c8fb6d5b095950	response_heterogeneity	any	HeatShock_42C_2h	unspecified	vascular_transport;barrier_endodermis	Phloem;Endodermis;Pericycle	*	selected maize root cell types	harmonized_claim
HCLAIM_d191c463b0108f5b	annotation_resolution_out_of_scope	any	HeatShock_42C_2h	unspecified	ground_cortex_mesophyll	Cortex subtype 1;Cortex subtype 2	*	cortex subtypes	harmonized_claim
HCLAIM_60860b8c426c8c69	source_only_out_of_scope	up	HeatShock_42C_2h	unspecified	ground_cortex_mesophyll	Cortex	heat_shock	maize cortex and whole-plant phenotype	harmonized_claim
HCLAIM_1fe0619d3c205ae1	program_support	network_activation	drought	primary_root_tip_growth_zone	not_applicable	not_applicable	hormone_crosstalk	spatial-temporal soybean root-tip drought response	harmonized_claim
HCLAIM_7d5ad2121cc80a34	module_direction	up	drought	mature_root	not_applicable	not_applicable	osmotic	vascular BRL3 drought response	harmonized_claim
HCLAIM_1881a5feecf57919	directional	up	HeatShock_38C_45min	unspecified	*	unspecified	heat_shock	all annotated root cell types	harmonized_claim
HCLAIM_db8622687edbc0cb	directional	down	HeatShock_38C_45min	unspecified	epidermal_frontline	unspecified	cell_wall;hormone_crosstalk	root-hair cells	harmonized_claim
HCLAIM_56816d6d851e8e76	directional	down	HeatShock_38C_45min	unspecified	epidermal_frontline	unspecified	cell_wall	root-hair cells	harmonized_claim
HCLAIM_e3321c2208e051b2	response_heterogeneity	any	HeatShock_38C_45min	unspecified	*	unspecified	*	all annotated root cell types	harmonized_claim
HCLAIM_993f676a2bf75061	annotation_sensitivity	any	HeatShock_38C_45min	unspecified	*	unspecified	*	all heat-shocked root cells	harmonized_claim
HCLAIM_967f8c3b193085fc	module_direction	maintained	drought	root_apex	not_applicable	not_applicable	cell_wall	primed versus unprimed root-apex zones under recurrent drought	harmonized_claim
HCLAIM_1510d8a3caf363a3	directional	up	Hypoxia_2h	unspecified	*	*	heat_shock	promoter-tagged compartments under 2 h hypoxia	harmonized_claim
HCLAIM_0ac7abea1d135f28	response_heterogeneity	not_applicable	Hypoxia_2h	unspecified	*	*	*	global/regional/promoter-tagged response pattern	harmonized_claim
HCLAIM_c04d935d35dfc49d	program_out_of_scope	not_applicable	Hypoxia_2h	unspecified	*	*	*	core anaerobic/translational response	harmonized_claim
HCLAIM_222bf7de0649086e	source_only_out_of_scope	not_applicable	Hypoxia_2h	unspecified	*	*	*	organ-level physiology and translatome magnitude	harmonized_claim
HCLAIM_47cb177c66188358	context_specific_program	context_dependent	water_deficit	root	not_applicable	not_applicable	ion_transport	sorted rice root populations across water extremes	harmonized_claim
HCLAIM_228c2e0af59cd6d0	directional	up	Rehydration15min	unspecified	*	*	hormone_crosstalk	15 min rehydration across major leaf cell types	harmonized_claim
HCLAIM_9b5a117f58e35e7c	program_out_of_scope	not_applicable	Rehydration15min	unspecified	*	*	*	bulk and single-nucleus drought recovery	harmonized_claim
HCLAIM_9fdb1e0b80947fad	source_only_out_of_scope	not_applicable	Rehydration15min	unspecified	*	*	*	spatial validation in the original study	harmonized_claim
