source_name	search_role	query_scope	records_discovered	records_reviewed	high_priority_candidates	cell_resolved_candidates	retrieved_asset_status	coverage_status	known_limitation
NCBI Gene Expression Omnibus	primary expression repository	2,902 accession candidates from predefined first-pass plus expanded synonym retrieval	2902 accessions; 63,927 samples; 5,804 matrix/supplement directories	2902 SOFT parsed; 5,696 directories fetched; 0 SOFT parse errors	1,240 strict stress-control contrasts with a quantitative matrix	29 high-priority cell-resolved candidates	65 processed files; 157,551,145,371 bytes; 146.73 GiB; 29 accessions	complete within predefined GEO query scope	108 directory listings failed and remain explicitly recorded; GEO query scope is not a claim that every GEO plant study is stress relevant
European Nucleotide Archive	primary run/study metadata	29 predefined RNA-seq stress queries	122,890 returned run records	106,031 unique RNA-seq runs; 5,787 studies	2,885 stress-study metadata records retained after detailed review	36 initially identified cell-resolved study candidates	metadata only; raw FASTQ deliberately not bulk-downloaded	complete for predefined ENA query set	query-derived high-recall registry; requires study/sample-level contrast confirmation and is not an independent all-ENA census
BioStudies and ArrayExpress	primary study metadata and processed files	1,266 plant taxa x 62 predefined full-word abiotic-stress terms	78,492 query units	77,306 complete query units; 1,186 incomplete/page-capped units; 39,998 unique accessions	139 prioritized study candidates after detailed record review	27 prioritized cell-resolved candidates; one unlinked candidate was excluded after direct stress-term review	All 39,998 study-detail records were cached; processed assets from eligible studies were assessed during study-level screening.	complete discovery execution with explicit incomplete-unit ledger	organism parameter admits mirror/index noise; detailed organism audit and verified taxonomy are required; page-capped units need targeted re-run
NCBI Taxonomy	plant boundary validation	1,306 taxon names assembled from GEO ENA and curated catalogs	1306 names	1,265 verified Viridiplantae; 41 nonplant or unresolved			metadata snapshots only	complete	one canonical taxon added at BioStudies collector runtime yields 1,266 query taxa; unresolved names remain retained in exclusion ledger
scPlantDB	plant single-cell discovery catalog	public static dataset asset	67 datasets; 17 species	67 catalog rows parsed	3 plant-stress candidates	3 catalog candidates	catalog/metadata only	complete snapshot	catalog is a discovery/reference aid, not a primary repository or an independent study count
PlantscRNAdb	plant single-cell discovery catalog	public API reference catalog	107 datasets; 33 species	107 catalog rows parsed	2 plant-stress candidates	2 catalog candidates	catalog/metadata only	complete snapshot	catalog is a discovery/reference aid; linked studies are deduplicated against primary repositories
Zenodo root single-cell collection	curated processed single-cell objects	Zenodo record 20976557	14 source studies; 143 samples	3 filtered RDS selected and downloaded	3 readable SCE assets	3 root single-cell assets	3,957,283,048 bytes; Jean-Baptiste 17,867 cells; Wendrich 15,992 cells; Wang rice 359,749 cells	complete selected asset download	curated collection is not an independent study source; it is used as a reproducible processed-object delivery channel
PubMed	literature discovery only	56 batched literature queries	9999 records	9999 metadata rows	31 cell-resolved title candidates	31 title candidates	no primary expression download	complete broad discovery snapshot	literature titles cannot establish data availability, treatment/control, or study independence
PsctH	legacy plant single-cell catalog	public catalog page	23 rows; 22 accessions	23 rows parsed	0 stress calls inferred	0	catalog only	complete snapshot	no stress metadata exposed; used only for accession discovery
CNCB Genome Sequence Archive	primary native transcriptomic metadata repository	62 predefined full-word abiotic-stress terms x TRANSCRIPTOMIC and TRANSCRIPTOMIC SINGLE CELL, center=NGDC	124 complete native query units; 574,600 reported experiment hits	114,457 unique CRX experiments; 5,603 unique CRA projects; 5,595 representative detail pages parsed	1,884 exact plant projects; 21 stress-control title candidates; 17 candidates with explicit sample-level stress and control metadata	No cell-resolved study was confirmed among the 21 title-priority candidates; repository metadata indicated bulk sequencing	663 search HTML (2.3 GiB); 5,595 CRA detail HTML (78 MiB); priority audit: 404 CRX + 404 BioSample + 399 Run HTML; no FASTQ downloaded	complete native discovery, near-complete CRA metadata audit, and complete priority sample/run metadata audit	8 CRA detail templates remain explicit; 16 raw candidates lack a resolved cross-repository accession but are not proven independent; no sample-level matrix/count files were identified or downloaded
Plant Cell Atlas	community/reference resource	not treated as primary study registry					reference only	not applicable	used for context/reference ecosystem, not counted as an independent expression-study source
CNCB GSA cell-resolved follow-up	Targeted review of cell-resolved candidates identified in the CNCB GSA search	56 exact-plant CRA projects with a cell-resolved experiment hint	566 project CRX; 502 unique BioSamples; 28 initially screened RNA runs; 3 project metadata workbooks	565 CRX pages, 502 BioSample pages, and 28 RNA run pages completed; three project workbooks parsed; one CRX nonstandard-template error retained	3 explicit BioSample-field stress-control candidates; author result tables audited for maize heat and soybean drought multiome	3 candidate cell-resolved crop studies: maize root heat, soybean endosperm drought multiome, barley root-tip salt	all candidate metadata and public-file URLs cached; 44 initial RNA FASTQ listed; 2,390,247.08 MB reported; no raw FASTQ downloaded; small GSA metadata workbooks plus accepted maize/soybean author result tables stored	complete follow-up for all 56 cell-hint projects and result-table audit for two candidates	no candidate has a processed matrix link on its BioProject page; no exact external accession for the three candidates is not proof of independence; soybean hub records are association only and use endosperm-subcluster rather than global-cluster labels; neither author table is an independent raw rerun
CNSA and Europe PMC targeted follow-up	Targeted review of a published crop root-salt multi-omics study	One literature-discovered, PMC Cloud-reconciled study: PMCID PMC12095985; DOI 10.1111/nph.70160	1 published study identity; official PMC Cloud metadata declared 11 supplementary media files	1 metadata JSON validated; 1 PDF and 10 XLSX assets downloaded and format-validated	1 explicit published salt-control root-tip study with author result tables	1 independently published Brassica root-salt cell-type-resolved study, external validation only	5,352,728 bytes of validated article/supplement assets; 36,146 author GO records extracted; no CNSA raw sequence or processed matrix downloaded	complete targeted public-asset and result-table audit	this is a targeted published-study follow-up, not a native all-CNSA registry census; control-root Stereo-seq does not provide salt-treated spatial direction; author GO tables are not independent DE; no processed RNA/ATAC matrix was obtained
